Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,event_date
2023-11-01,168.86356825336904,172.0532092124064,167.99455793411695,171.7964630126953,56934900,0.0,0.0,AAPL,2023-11-02
2023-11-02,173.32712561259646,175.55888462715336,173.26787764016203,175.3515167236328,77334800,0.0,0.0,AAPL,2023-11-02
2023-11-03,172.06309922812656,174.61086723243213,171.1842192438163,174.44297790527344,79829200,0.0,0.0,AAPL,2023-11-02
2023-11-06,174.17635419198152,177.18823614800198,174.00847994055556,176.99073791503906,63841300,0.0,0.0,AAPL,2023-11-02
2023-11-07,176.94138484513783,180.1606652677133,176.7340169447808,179.5484161376953,70530000,0.0,0.0,AAPL,2023-11-02
2023-11-08,180.07180990163698,181.15805797213443,179.32129534469576,180.6050567626953,49340300,0.0,0.0,AAPL,2023-11-02
2023-11-09,180.67415869856794,181.81965455110011,179.53851741631973,180.1310272216797,53763500,0.0,0.0,AAPL,2023-11-02
