close_event,close_48h,pct_change_48h,direction,event_date,post_date_48h,ticker
148.303,149.1978,0.6034,1,2023-02-02,2023-02-06,AAPL
163.272,170.8649,4.6504,1,2023-05-04,2023-05-08,AAPL
188.527,176.3773,-6.4445,0,2023-08-03,2023-08-07,AAPL
175.3515,176.9907,0.9348,1,2023-11-02,2023-11-06,AAPL
235.3402,241.1352,2.4624,1,2023-01-24,2023-01-26,MSFT
268.467,297.1345,10.6782,1,2023-04-25,2023-04-27,MSFT
342.8673,323.0757,-5.7724,0,2023-07-25,2023-07-27,MSFT
323.5736,320.9892,-0.7987,0,2023-10-24,2023-10-26,MSFT
