feature,correlation_with_48h_return
overall_sentiment,0.7255696032530984
cfo_sentiment,0.7083707893244742
ceo_sentiment,0.6593823594005904
qa_sentiment,0.6574797555638093
prepared_sentiment,0.6286905876135829
tone_shift,-0.40088065286787566
positive_ratio,0.3525776227685132
total_sentences,-0.3132401096219241
analyst_sentiment,0.25923828220322553
sentiment_volatility,0.25243806572654565
negative_ratio,-0.16061833823028424
prepared_volatility,-0.14721941623814291
cfo_sentence_count,-0.1310875679940708
analyst_sentence_count,-0.13008871537866545
neutral_ratio,-0.11608647916744008
qa_volatility,0.04348711287815488
ceo_sentence_count,0.025029031767746592
